Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1967-01-03,0.1005819225796768,0.10086246862671043,0.10016110350912634,0.10044164955615997,710400,0.0,0.0
1967-01-04,0.09988065722211757,0.09988065722211757,0.0979166211453057,0.09847771376371384,1228800,0.0,0.0
1967-01-05,0.0990388377601276,0.09988069534301758,0.0990388377601276,0.09988069534301758,1190400,0.0,0.0
1967-01-06,0.10002095885069265,0.10072232486839716,0.10002095885069265,0.10016123205423355,403200,0.0,0.0
1967-01-09,0.10016117365503305,0.10128335862906776,0.10016117365503305,0.10100281238555908,595200,0.0,0.0
1967-01-10,0.10128338629622238,0.10240556515521207,0.10128338629622238,0.10212501883506775,556800,0.0,0.0
1967-01-11,0.10212498657776614,0.1066141501069069,0.10170417365205567,0.10661415010690689,460800,0.0,0.0
1967-01-12,0.10661411384115582,0.10885847650837575,0.10605302156895499,0.10647384077310562,1363200,0.0,0.0
1967-01-13,0.10633354826347553,0.10633354826347553,0.10493060592722894,0.10605300217866898,940800,0.0,0.0
1967-01-16,0.10549172722160378,0.10549172722160378,0.10380845656715422,0.1046500951051712,614400,0.0,0.0
1967-01-17,0.10465001225107114,0.10605295394930643,0.10450973927245936,0.10479028522968292,1132800,0.0,0.0
1967-01-18,0.10479044802682122,0.10577235398096377,0.1046501748302881,0.10493072122335434,326400,0.0,0.0
1967-01-19,0.10493071576103186,0.10633365956577746,0.10493071576103186,0.10549180209636688,614400,0.0,0.0
1967-01-20,0.10549169167525979,0.10605300217866898,0.10493060592722894,0.10605300217866898,825600,0.0,0.0
1967-01-23,0.10591252148151398,0.10591252148151398,0.10436952428108148,0.10591252148151398,1555200,0.0,0.0
1967-01-24,0.10591253492838106,0.10591253492838106,0.10465008368075893,0.10521117597818375,998400,0.0,0.0
1967-01-25,0.10521115201203549,0.10605300217866898,0.10465005984242239,0.10605300217866898,595200,0.0,0.0
1967-01-26,0.10605311318731547,0.10633365956577746,0.10493071576103186,0.10549180209636688,691200,0.0,0.0
1967-01-27,0.10549171914195268,0.10619330287043525,0.10549171914195268,0.1056319922208786,1075200,0.0,0.0
1967-01-30,0.10591253016706877,0.10661411384115582,0.10591253016706877,0.10647384077310562,729600,0.0,0.0
1967-01-31,0.10647387699114154,0.10689468991685201,0.10605305764384547,0.10661415010690689,2956800,0.0,0.0
1967-02-01,0.10661410509806635,0.10661410509806635,0.10549170231187342,0.10591252148151398,902400,0.0,0.0
1967-02-02,0.10591247178167727,0.10633350908756255,0.10549165280950765,0.10633350908756256,403200,0.0,0.0
1967-02-03,0.10619331100382093,0.10619331100382093,0.1046500951051712,0.1046500951051712,1017600,0.0,0.0
1967-02-06,0.10465013661572216,0.10493068290634272,0.10380849774386049,0.10408904403448105,230400,0.0,0.0
1967-02-07,0.10408900274649321,0.1046500951051712,0.10408900274649321,0.1046500951051712,115200,0.0,0.0
1967-02-08,0.10465011457386723,0.10717523614838273,0.10436956834233652,0.10661415010690689,3206400,0.0,0.0
1967-02-09,0.1066141501069069,0.10717523614838273,0.1066141501069069,0.10661415010690689,1363200,0.0,0.0
1967-02-10,0.10647384077310561,0.10647384077310561,0.10577225709901857,0.10647384077310562,1939200,0.0,0.0
1967-02-13,0.10647389406197195,0.10717525333166122,0.10605307464720642,0.10717525333166122,710400,0.0,0.0
1967-02-14,0.10717523614838273,0.10717523614838273,0.1066141501069069,0.10661415010690689,2304000,0.0,0.0
1967-02-15,0.10661416720022714,0.10717525333166122,0.10647389406197195,0.10717525333166122,633600,0.0,0.0
1967-02-16,0.10717520962833474,0.10717520962833474,0.10633357756358645,0.10703493654727936,614400,0.0,0.0
1967-02-17,0.10703501043094081,0.10941985994577406,0.10675446407517572,0.10941985994577408,1094400,0.0,0.0
1967-02-20,0.10941978834557592,0.10941978834557592,0.10801685199394927,0.10857794433832169,576000,0.0,0.0
1967-02-21,0.10941984175850657,0.11082257330417633,0.10941984175850657,0.11082257330417633,1382400,0.0,0.0
1967-02-23,0.11082255222724499,0.113067127764225,0.1097003672041334,0.113067127764225,3436800,0.0,0.0
1967-02-24,0.11306713310756618,0.11418931818371014,0.11250583507872765,0.11334767937660217,1497600,0.0,0.0
